url,company,model,label_desc,verdict,risk_level,hes,tes,ces,ecs,final_accs,dynamic_weight_log
https://prod.danawa.com/info/?pcode=94811081,Seagate,ST12000VE003,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,6.18,6.18,0.0,0.0,5.25,"{'created_at': '2026-09-24 20:46:27', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 6.18, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 6.18, 'dynamic_accs': 5.25, 'legacy_accs': 5.25, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=94880960,Seagate,ST8000VE001,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,6.18,6.18,0.0,0.0,5.25,"{'created_at': '2026-09-24 20:47:04', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 6.18, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 6.18, 'dynamic_accs': 5.25, 'legacy_accs': 5.25, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=9346392,"Seagate Technology Korea, Inc.",ST10000VE0008,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,7.95,6.18,0.0,0.0,5.96,"{'created_at': '2026-09-24 20:47:43', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 7.95, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 7.01, 'dynamic_accs': 5.96, 'legacy_accs': 5.96, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=103811207,"Seagate Technology Korea, Inc.",ST32000VE000,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,7.95,6.18,0.0,0.0,5.96,"{'created_at': '2026-09-24 20:48:19', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 7.95, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 7.01, 'dynamic_accs': 5.96, 'legacy_accs': 5.96, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=95928110,"Seagate Technology Korea, Inc.",ST20000VE003,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,7.95,6.18,0.0,0.0,5.96,"{'created_at': '2026-09-24 20:49:42', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 7.95, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 7.01, 'dynamic_accs': 5.96, 'legacy_accs': 5.96, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=15965906,"Seagate Technology Korea, Inc.",ST10000VE001,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,7.95,6.18,0.0,0.0,5.96,"{'created_at': '2026-09-24 20:51:05', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 7.95, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 7.01, 'dynamic_accs': 5.96, 'legacy_accs': 5.96, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=12639086,"Seagate Technology Korea, Inc.",ST18000VE002,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,7.95,6.18,0.0,0.0,5.96,"{'created_at': '2026-09-24 20:51:41', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 7.95, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 7.01, 'dynamic_accs': 5.96, 'legacy_accs': 5.96, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=9346551,"Seagate Technology Korea, Inc.",ST14000VE0008,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,7.95,6.18,0.0,0.0,5.96,"{'created_at': '2026-09-24 20:52:17', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 7.95, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 7.01, 'dynamic_accs': 5.96, 'legacy_accs': 5.96, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=16741385,"Seagate Technology Korea, Inc.",ST20000VE002,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,7.95,6.18,0.0,0.0,5.96,"{'created_at': '2026-09-24 20:53:42', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 7.95, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 7.01, 'dynamic_accs': 5.96, 'legacy_accs': 5.96, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
https://prod.danawa.com/info/?pcode=14979527,"Seagate Technology Korea, Inc.",ST16000VE002,일반 상품 (Non-AI),AI 기능 주장 미확인 / Not Evaluated,판정 제외,7.95,6.18,0.0,0.0,5.96,"{'created_at': '2026-09-24 20:54:18', 'method': 'quality_context_softmax_hes_tes_ces_with_ecs_blend', 'base_scores': {'hes': 7.95, 'tes': 6.18, 'ces': 0, 'ecs': 0}, 'weights': {'hes': 0.4667, 'tes': 0.5333, 'ces': 0.0}, 'logits': {'hes': -0.9498000000000001, 'tes': -0.8163}, 'dynamic_evidence_score': 7.01, 'dynamic_accs': 5.96, 'legacy_accs': 5.96, 'delta_vs_legacy': 0.0, 'verdict': 'AI 기능 주장 미확인 / Not Evaluated', 'risk_level': '판정 제외'}"
